NODEID,ONSTREETNAME,FROMSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
13010,CANAL AVENUE,WEST   17 STREET,B,05/17/2018 00:00:00,05/21/2018 23:59:59,DOT IN-HOUSE PAVING
13011,BELT PKWY EB EN CROPSEY AVE SB,BAY   52 STREET,B,05/17/2018 00:00:00,05/21/2018 23:59:59,DOT IN-HOUSE PAVING
108018,RIVERSIDE BOULEVARD,WEST   63 STREET,M,12/04/2017 00:00:00,12/05/2017 23:59:59,DOT IN-HOUSE PAVING
101964,87 AVENUE,233 STREET,Q,10/06/2017 14:10:27,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
17361,AVENUE K,EAST    7 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
21263,DYER AVENUE,WEST   37 STREET,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
21226,11 AVENUE,WEST   43 STREET,M,11/06/2017 00:00:00,11/07/2017 23:59:59,DOT IN-HOUSE PAVING
17414,AVENUE K,EAST    8 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
17416,AVENUE K,EAST    9 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
17418,AVENUE K,EAST   10 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
21304,10 AVENUE,WEST   43 STREET,M,11/06/2017 00:00:00,11/07/2017 23:59:59,DOT IN-HOUSE PAVING
15905,JOHN STREET,PEARL STREET,B,01/16/2018 00:00:00,01/18/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
23479,5 AVENUE,EAST   77 STREET,M,11/27/2017 00:00:00,11/29/2017 23:59:59,DOT IN-HOUSE PAVING
15905,JOHN STREET,PEARL STREET,B,01/16/2018 00:00:00,01/18/2018 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
21620,WEST   61 DRIVE,WEST END AVENUE,M,11/16/2017 00:00:00,11/21/2017 23:59:59,DOT IN-HOUSE PAVING
108016,WEST   62 STREET,WEST END AVENUE,M,09/25/2017 00:00:00,11/15/2017 23:58:59,CONTRACT ROADWAY PAVING
15905,JOHN STREET,PEARL STREET,B,01/16/2018 00:00:00,01/18/2018 23:58:59,PLACE CRANE OR SHOVEL ON STREET
15601,BAXTER STREET,WORTH STREET,M,12/09/2017 00:00:00,12/11/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
15601,BAXTER STREET,WORTH STREET,M,12/09/2017 00:00:00,12/11/2017 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
15601,BAXTER STREET,WORTH STREET,M,12/09/2017 00:00:00,12/11/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
16463,AVENUE S,MC DONALD AVENUE,B,02/23/2018 00:00:00,03/06/2018 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
16463,AVENUE S,MC DONALD AVENUE,B,02/24/2018 00:00:00,03/06/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
45766,78 STREET,HORACE HARDING EXPRESSWAY,Q,01/10/2018 06:53:52,02/10/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
21268,WEST   37 STREET,LINCOLN TNNL APPROACH,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
21274,9 AVENUE,WEST   37 STREET,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
14995,5 AVENUE,9 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
14996,5 AVENUE,8 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
21345,8 AVENUE,WEST   37 STREET,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
14997,5 AVENUE,7 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
22715,5 AVENUE,EAST   69 STREET,M,05/30/2017 14:49:36,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22772,EAST   69 STREET,MADISON AVENUE,M,05/30/2017 14:49:36,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22776,EAST   69 STREET,PARK AVENUE,M,05/30/2017 14:49:37,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22846,EAST   69 STREET,LEXINGTON AVENUE,M,05/30/2017 14:49:37,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
22849,3 AVENUE,EAST   69 STREET,M,05/30/2017 14:49:38,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
22929,2 AVENUE,EAST   69 STREET,M,05/30/2017 15:44:03,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22994,EAST   69 STREET,YORK AVENUE,M,05/30/2017 14:49:39,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
22997,1 AVENUE,EAST   69 STREET,M,05/30/2017 14:49:38,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23090,EAST   77 STREET,YORK AVENUE,M,05/30/2017 14:49:41,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
14998,5 AVENUE,6 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
14999,5 AVENUE,5 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
23479,5 AVENUE,EAST   77 STREET,M,06/01/2017 10:38:26,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23482,EAST   77 STREET,MADISON AVENUE,M,05/30/2017 14:49:39,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23485,EAST   77 STREET,PARK AVENUE,M,05/30/2017 14:49:40,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23524,3 AVENUE,EAST   77 STREET,M,06/13/2017 12:39:17,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
